CODE,ALIAS_CODE,ALIAS_TYPE
ES230,ES211,NUTS3
ES233,ES212,NUTS3
ES235,ES213,NUTS3
ES237,ES230,NUTS3
ES239,ES521,NUTS3
ES242,ES522,NUTS3
ES246,ES523,NUTS3
ES250,ES630,NUTS3
ES251,ES640,NUTS3
FI001,FI001,NUTS3
FI002,FI002,NUTS3
FI003,FI003,NUTS3
FI004,FI004,NUTS3
FI005,FI005,NUTS3
FI006,FI006,NUTS3
FI007,FI007,NUTS3
FI008,FI008,NUTS3
FI009,FI009,NUTS3
FI010,FI010,NUTS3
FI011,FI011,NUTS3
FI012,FI012,NUTS3
FI013,FI013,NUTS3
FI014,FI014,NUTS3
FI015,FI015,NUTS3
FI016,FI016,NUTS3
FI017,FI017,NUTS3
FI018,FI018,NUTS3
FI019,FI019,NUTS3
FI020,FI020,NUTS3
FI021,FI021,NUTS3
FI022,FI022,NUTS3
FI023,FI023,NUTS3
FI024,FI024,NUTS3
FI025,FI025,NUTS3
FI026,FI026,NUTS3
FI027,FI027,NUTS3
FI028,FI028,NUTS3
FI029,FI029,NUTS3
FI030,FI030,NUTS3
FI031,FI031,NUTS3
FI032,FI032,NUTS3
FI033,FI033,NUTS3
FI034,FI034,NUTS3
FI036,FI036,NUTS3
FI037,FI037,NUTS3
FI038,FI038,NUTS3
FI039,FI039,NUTS3
FI040,FI040,NUTS3
FI041,FI041,NUTS3
FI042,FI042,NUTS3
FI043,FI043,NUTS3
FR001,AN,FIPS
FR002,FR412,NUTS3
FR003,FR626,NUTS3
FR004,FR613,NUTS3
FR005,FR624,NUTS3
FR006,FR815,NUTS3
FR007,FR811,NUTS3
FR008,FR621,NUTS3
FR009,FR623,NUTS3
FR010,FR628,NUTS3
FR011,FR627,NUTS3
FR012,FR614,NUTS3
FR013,FR625,NUTS3
FR014,FR612,NUTS3
FR015,FR532,NUTS3
FR016,FR531,NUTS3
FR017,FR611,NUTS3
FR018,FR631,NUTS3
FR019,FR633,NUTS3
FR020,FR813,NUTS3
FR021,FR622,NUTS3
FR022,FR812,NUTS3
FR023,FR814,NUTS3
FR024,FR722,NUTS3
FR025,FR723,NUTS3
FR026,FR712,NUTS3
FR027,FR824,NUTS3
FR028,FR825,NUTS3
FR029,FR823,NUTS3
FR030,FR826,NUTS3
FR031,FR713,NUTS3
FR032,FR821,NUTS3
FR033,FR822,NUTS3
FR043,FR721,NUTS3
FR053,FR513,NUTS3
FR063,FR242,NUTS3
FR073,FR221,NUTS3
FR080,FR431,NUTS3
GR002,EL24,NUTS2
FR034,FR714,NUTS3
FR044,FR515,NUTS3
FR054,FR253,NUTS3
FR064,FR103,NUTS3
FR074,FR211,NUTS3
FR081,FR434,NUTS3
FR088,FR411,NUTS3
GR004,EL11,NUTS2
FR035,FR718,NUTS3
FR045,FR534,NUTS3
FR055,FR232,NUTS3
FR065,FR108,NUTS3
FR075,FR212,NUTS3
FR082,FR433,NUTS3
FR089,FR832,NUTS3
GR005,EL12,NUTS2
FR036,FR717,NUTS3
FR046,FR522,NUTS3
FR056,FR231,NUTS3
FR066,FR104,NUTS3
FR076,FR213,NUTS3
FR083,FR422,NUTS3
FR090,FR831,NUTS3
GR006,EL13,NUTS2
FR037,FR715,NUTS3
FR047,FR521,NUTS3
FR057,FR514,NUTS3
FR067,FR101,NUTS3
FR077,FR263,NUTS3
FR084,FR414,NUTS3
FR091,FR615,NUTS3
